Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
IN,Domestic,2022,Aug,Riyadh,4638,759899
OUT,Domestic,2022,Aug,Abha,566,83122
OUT,Domestic,2022,Aug,Al-Jawf,124,15367
OUT,Domestic,2022,Aug,Al-Ula,20,2051
OUT,Domestic,2022,Aug,Arar,89,11022
OUT,Domestic,2022,Aug,Bisha,80,8969
OUT,Domestic,2022,Aug,Dammam,380,53306
OUT,Domestic,2022,Aug,Al-Bahah,92,9447
OUT,Domestic,2022,Aug,Hafr Al-batin,62,8120
OUT,Domestic,2022,Aug,Hail,155,17831
OUT,Domestic,2022,Aug,Jeddah,1428,247779
OUT,Domestic,2022,Aug,Jizan,396,47516
OUT,Domestic,2022,Aug,Madinah,331,46854
OUT,Domestic,2022,Aug,Najran,150,20833
OUT,Domestic,2022,Aug,NEOM,13,1599
OUT,Domestic,2022,Aug,Qassim,66,6969
OUT,Domestic,2022,Aug,Qurayyat,62,7219
OUT,Domestic,2022,Aug,Rafha,31,3671
OUT,Domestic,2022,Aug,Sharurah,55,5907
OUT,Domestic,2022,Aug,Tabuk,248,33883
OUT,Domestic,2022,Aug,Taif,215,28846
OUT,Domestic,2022,Aug,Turaif,26,2749
OUT,Domestic,2022,Aug,WADI AL-DAWASER,31,3431
OUT,Domestic,2022,Aug,Al Wajh,13,1210
OUT,Domestic,2022,Aug,Yenbo,32,3887
IN,Domestic,2022,Sep,Riyadh,4474,606116
OUT,Domestic,2022,Sep,Abha,523,62334
OUT,Domestic,2022,Sep,Al-Jawf,112,13498
OUT,Domestic,2022,Sep,Al-Ula,23,2535
OUT,Domestic,2022,Sep,Arar,85,9817
OUT,Domestic,2022,Sep,Bisha,72,8394
OUT,Domestic,2022,Sep,Dammam,391,49993
OUT,Domestic,2022,Sep,Al-Bahah,73,6584
OUT,Domestic,2022,Sep,Hafr Al-batin,60,7608
OUT,Domestic,2022,Sep,Hail,147,16580
OUT,Domestic,2022,Sep,Jeddah,1422,216785
OUT,Domestic,2022,Sep,Jizan,374,39973
OUT,Domestic,2022,Sep,Madinah,335,42210
OUT,Domestic,2022,Sep,Najran,143,18876
OUT,Domestic,2022,Sep,NEOM,13,1492
OUT,Domestic,2022,Sep,Qassim,60,5967
OUT,Domestic,2022,Sep,Qurayyat,57,6994
OUT,Domestic,2022,Sep,Rafha,27,3407
OUT,Domestic,2022,Sep,Sharurah,52,4950
OUT,Domestic,2022,Sep,Tabuk,220,29218
OUT,Domestic,2022,Sep,Taif,212,22865
OUT,Domestic,2022,Sep,Turaif,26,2508
